,fsqid,name,latitude,longitude,category,popularity,price,rating,stats,free_bikes
177,520e02e4498eb761160dfc04,Bhartiyam Furnishings,23.214601,77.435593,"Furniture and Home Store,",0.6070398153491056,,,,4
178,4fca43c5e4b026db02aabc42,Amita's Delhi Darbar,23.214601,77.435593,"Bar,Asian Restaurant,",0.3329486439699942,2.0,,,4
179,510923ede4b0f42b08424e22,Archie Gallery Complex,23.214601,77.435593,"Business and Professional Services,",0.9425851125216388,,,,4
180,4de15b4263655ed7e3fbe5db,Hotel Jehanuma Palace,23.226349,77.392242,"Restaurant,",0.8167916907097519,2.0,8.1,"{'total_photos': 2, 'total_ratings': 16, 'total_tips': 6}",2
181,1ac3a872f85e4ab99fd66394,Vishnu Patidar,23.226349,77.392242,,,,,,2
182,ac97a601f9e244f49fe5676c,Supremo Tent Light Shop,23.226349,77.392242,"Retail,",,,,,2
183,3d2943965337487f512155a3,P and T Market,23.226349,77.392242,"Grocery Store / Supermarket,",,,,,2
184,5163fa39e4b037ac9f1d9eec,Jawahar chowk,23.226349,77.392242,"Convenience Store,",0.971725331794576,,,,2
185,4e3e350b1838cb1b82fbd8f7,Bhadbhada Dam Bridge,23.226349,77.392242,,0.0008655510675129,,,,2
186,58bf6725b41e405ac6d2b8ac,Bhagwati Pooja Store,23.226349,77.392242,"Retail,",,,,,2
187,413e550e863d4c0fdd89be8a,Door Flawours,23.226349,77.392242,"Restaurant,",,,,,2
188,efb125238ff243c2bb51a836,Dhan Shri Mobile,23.226349,77.392242,"Retail,",,,,,2
189,6955b8d592764407ab12315c,Global Trach Electric,23.226349,77.392242,"Retail,",,,,,2
190,5814987638fa00325aca40d1,Shaurya Smarak,23.237441,77.421214,"Other Great Outdoors,",0.3439122908251587,,,,2
191,ccde12ec59984dd9d539f5a7,Department of Information Technology,23.237441,77.421214,"Community and Government,",,,,,2
192,2fa16e211a8a45b22112dac2,National Informatics Centre,23.237441,77.421214,"Community and Government,",,,,,2
193,c487b081472c4fca0c07bbc6,State Bank Of India,23.237441,77.421214,"Bank,",,,,,2
194,44eb41b46f4c438c7c6650c7,Department of Micro Small and Medium Enterprises,23.237441,77.421214,"Community and Government,",,,,,2
195,3d63e9aed4a0435c777ca380,SBM Toilet,23.237441,77.421214,"Community and Government,",,,,,2
196,9d3a94dee1ce42e4c9a99a11,Principal Secretary of Energy Department,23.237441,77.421214,"Community and Government,",,,,,2
197,d9acdabe82b74df19fecb868,Pari Communication,23.237441,77.421214,"Retail,",,,,,2
198,8e6df3ebc8e248ed0d47e2b5,Auto Exchange,23.237441,77.421214,"Car Parts and Accessories,",,,,,2
199,4df07ed652b1faff63244d78,State Bank of India,23.237441,77.421214,,0.6096364685516446,,,,2
200,4de15b4263655ed7e3fbe5db,Hotel Jehanuma Palace,23.226139,77.386867,"Restaurant,",0.8167916907097519,2.0,8.1,"{'total_photos': 2, 'total_ratings': 16, 'total_tips': 6}",3
201,a6186cbe6f134c9c985d1926,Akhil Bharatiya Vidyarthi Parishad,23.226139,77.386867,"Community and Government,",,,,,3
202,4e410c3862e17b948c22df14,Kerela Ayurveda Massage Centre,23.226139,77.386867,"Drugstore,",0.1292556260819388,,,,3
203,4e40d7648877f7a2cf29ad1f,Central Bank Of India,23.226139,77.386867,"Bank,",0.1526255049047893,,,,3
204,4ed334b30aafd1869239a5ba,Picnik,23.226139,77.386867,"Fast Food Restaurant,",0.3193883439122908,1.0,,,3
205,4e3e350b1838cb1b82fbd8f7,Bhadbhada Dam Bridge,23.226139,77.386867,,0.0008655510675129,,,,3
206,4e410ce8ae60920b0174625f,Indraprasth Uniform Store,23.226139,77.386867,"Children's Clothing Store,",0.5735718407386036,,,,3
207,4de1540c63655ed7e3fbb321,Bharat Bhawan,23.226139,77.386867,"Art Gallery,",0.0175995383727639,,,,3
208,5163fa39e4b037ac9f1d9eec,Jawahar chowk,23.226139,77.386867,"Convenience Store,",0.971725331794576,,,,3
209,4def7927227170314ba3d195,Agrawal Jewellers,23.226139,77.386867,"Jewelry Store,",0.4512406231967686,,,,3
210,4f097233e4b0945c6bfb7bb7,Sair Sapata,23.216699,77.376212,"Tourist Information and Service,",0.5109636468551645,,6.5,"{'total_photos': 16, 'total_ratings': 9, 'total_tips': 3}",4
211,52a5ee30498e7eeb476c3390,Jehan Numa Retreat,23.216699,77.376212,"Hotel,",0.9421467464794346,2.0,8.4,"{'total_photos': 12, 'total_ratings': 14, 'total_tips': 7}",4
212,cf24587ab55944b5f38a5b86,Sair Sapata Restaurant,23.216699,77.376212,"Restaurant,",,,,,4
213,50f6b90de4b0771e56e1c23a,Sair Sapata,23.216699,77.376212,"Bridge,",0.3770917484131564,,,,4
214,510e9c83e4b04cfd3825069f,Greenwoods Country Club,23.216699,77.376212,"Indian Restaurant,",0.936526255049048,2.0,,,4
215,5d18be83c56f4800238d3f0b,Green House Bistro,23.216699,77.376212,"Bistro,",0.947201384881708,,,,4
